IMDB id,Title,Year,Rating,Genre,Top_cast,Top casts
tt2637518,Meri Lalkaar,1990.0,4.2,Action,SadashivAmrapurkar BharatBhushan PuneetIssar SatishKaul HumaKhan,"Sadashiv Amrapurkar, Bharat Bhushan, Puneet Issar, Satish Kaul, Huma Khan"
tt0272651,Hari-Bhari,2000.0,7.5,"Drama, Family",ShabanaAzmi RajitKapoor RajeshwariSachdev SurekhaSikri NanditaDas,"Shabana Azmi, Rajit Kapoor, Rajeshwari Sachdev, Surekha Sikri, Nandita Das"
tt0135140,Anth,1994.0,4.8,Action,SunielShetty SomyAli PareshRawal DeepakShirke NeenaGupta,"Suniel Shetty, Somy Ali, Paresh Rawal, Deepak Shirke, Neena Gupta"
tt0476861,Sarhad Paar,2006.0,3.9,"Action, Drama",MahimaChaudhry Tabu SanjayDutt ChandrachurSingh RahulDev,"Mahima Chaudhry, Tabu, Sanjay Dutt, Chandrachur Singh, Rahul Dev"
tt1191118,Hello Darling,2010.0,2.7,"Comedy, Drama",GulPanag CelinaJaitly IshaKoppikar ChunkyPandey JaavedJaaferi,"Gul Panag, Celina Jaitly, Isha Koppikar, Chunky Pandey, Jaaved Jaaferi"
tt0073191,Jai Santoshi Maa,1975.0,6.4,"Drama, Fantasy",BharatBhushan AshishKumar KananKaushal AnitaGuha TrilokKapoor,"Bharat Bhushan, Ashish Kumar, Kanan Kaushal, Anita Guha, Trilok Kapoor"
tt0113933,Naaraaz,1994.0,4.7,"Action, Crime, Drama",PoojaBhatt MithunChakraborty AtulAgnihotri SonaliBendre RanaJungBahadur,"Pooja Bhatt, Mithun Chakraborty, Atul Agnihotri, Sonali Bendre, Rana Jung Bahadur"
tt0395519,Doodh Ka Karz,1990.0,4.7,"Action, Drama, Fantasy",JackieShroff NeelamKothari PremChopra ArunaIrani RazaMurad,"Jackie Shroff, Neelam Kothari, Prem Chopra, Aruna Irani, Raza Murad"
tt0088986,Damul,1985.0,7.8,Drama,ManoharSingh AnnuKapoor SreelaMajumdar DeeptiNaval PyareMohanSahay,"Manohar Singh, Annu Kapoor, Sreela Majumdar, Deepti Naval, Pyare Mohan Sahay"
tt0079614,Nauker,1979.0,6.3,"Comedy, Drama",SanjeevKumar JayaBachchan YogeetaBali Mehmood ManmohanKrishna,"Sanjeev Kumar, Jaya Bachchan, Yogeeta Bali, Mehmood, Manmohan Krishna"
tt0233147,Ayee Milan Ki Bela,1964.0,6.5,"Drama, Romance",RajendraKumarTuli SairaBanu Dharmendra NasirHussain ShashikalaJawalkar,"Rajendra Kumar Tuli, Saira Banu, Dharmendra, Nasir Hussain, Shashikala Jawalkar"
tt3666258,Coffee Bloom,2015.0,5.8,Drama,ArjunMathur SugandhaGarg IshwariBose-Bhattacharya MohanKapur SharathParvathavani,"Arjun Mathur, Sugandha Garg, Ishwari Bose-Bhattacharya, Mohan Kapur, Sharath Parvathavani"
